academic_year,author,title,project_id,pdf_url,degree_program,is_msc_ai,submission_year,abstract_snippet,source,topic_buckets
2022-2023,"Rawal, Sparsh",Spoken Language Identification of Low-Resource Languages,20236672,https://project-archive.inf.ed.ac.uk/msc/20236672/msc_proj.pdf,MSc Artificial Intelligence,True,2023,Spoken Language Identification of Low-Resource Languages with Universal Phoneme Recognisers Sparsh Rawal T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2023 Abstract The process of determining the language being used in a spoken or written text is known as language identification. The process of determining the ,UoE Informatics Outstanding MSc Archive,Speech & Audio
2022-2023,"Sanni, Mardhiyah",Computationally Efficient Methods for Jointly Generating,20236782,https://project-archive.inf.ed.ac.uk/msc/20236782/msc_proj.pdf,MSc Artificial Intelligence,True,2023,"Computationally Efficient Methods for Jointly Generating Predictions and Explanations Mardhiyah Sanni T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2023 Abstract In this dissertation, we explore the effectiveness of existing parameter-efficient fine- tuning methods in adapting the Text-to-Text Transfer Transfor",UoE Informatics Outstanding MSc Archive,LLMs & NLP; Efficiency & Systems
2022-2023,"Surana, Tanish",Mirror detection in videos with unsupervised fine-tuning,20236857,https://project-archive.inf.ed.ac.uk/msc/20236857/msc_proj.pdf,MSc Artificial Intelligence,True,2023,"Mirror detection in videos with unsupervised fine-tuning using optical flow and analysis of optical flow in refinement of segmentation mask Tanish Surana T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2023 Abstract Mirror detection in videos presents unique challenges, especially given their preva- lence and nua",UoE Informatics Outstanding MSc Archive,Computer Vision
2022-2023,"Wang, Li",Indoor Wi-Fi Localisation with Noisy Dataset,20236729,https://project-archive.inf.ed.ac.uk/msc/20236729/msc_proj.pdf,MSc Artificial Intelligence,True,2023,Indoor Wi-Fi Localisation with Noisy Dataset Li Wang T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2023 Abstract This project is primarily concerned with applying deep learning techniques to the prob- lem of indoor wifi localisation. The application of indoor Wi-Fi localisation typically requires collecting acc,UoE Informatics Outstanding MSc Archive,Other / General AI
2022-2023,"Welsh, Jamie",Spatio-Temporal Estimation of PM2.5 With Transfer Learning,20236298,https://project-archive.inf.ed.ac.uk/msc/20236298/msc_proj.pdf,MSc Artificial Intelligence,True,2023,"Spatio-Temporal Estimation of PM2.5 With Transfer Learning Jamie Welsh T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2023 Abstract The negative effects of air pollution are extensive, spanning from respiratory problems to harm to the environment and ecosystems. Consequently, the monitoring and forecasting of ai",UoE Informatics Outstanding MSc Archive,Other / General AI
2023-2024,"Baeza Hirnyak, Ivan",Detecting user radicalization on YouTube using time-series,20247289,https://project-archive.inf.ed.ac.uk/msc/20247289/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Detecting user radicalization on YouTube using time-series modelling Ivan Baeza Hirnyak T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This dissertation presents a new approach to predicting user radicalization on YouTube by using time-series models, which can capture the temporal progression of us",UoE Informatics Outstanding MSc Archive,"Fairness, Ethics & Society"
2023-2024,"Bermejo, Tomas",Automating Systematic Reviews: Generalisation to New,20247282,https://project-archive.inf.ed.ac.uk/msc/20247282/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Automating Systematic Reviews: Generalisation to New Abstract Screening Tasks with Merged Expert LoRAs Tom´as Bermejo T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Systematic reviews (SRs) of academic literature are a crucial part of many scientific fields including healthcare, but the large time ",UoE Informatics Outstanding MSc Archive,Healthcare & Biology; Education & HCI Tools
2023-2024,"Desmitniece, Beate",Graph Neural Network Approach to Census Prediction:,20247283,https://project-archive.inf.ed.ac.uk/msc/20247283/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Graph Neural Network Approach to Census Prediction: Mozambique Case Study Beate Desmitniece T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Up-to-date census information is essential for effective resource allocation, service planning and disaster mitigation. While previous studies have utilised pro",UoE Informatics Outstanding MSc Archive,Reinforcement Learning; Graph & Knowledge
2023-2024,"Fyksen, Elias",Mitigating Overestimation in Stochastic Environments: A,20247112,https://project-archive.inf.ed.ac.uk/msc/20247112/msc_proj.pdf,MSc Artificial Intelligence,True,2024,Mitigating Overestimation in Stochastic Environments: A Causal Approach to Planning in Reinforcement Learning Elias F . Fyksen T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This thesis investigates the integration of causal inference techniques into reinforcement learning to enhance planning in st,UoE Informatics Outstanding MSc Archive,Reinforcement Learning
2023-2024,"Hamid, Irfan",Tree Species Classification with High Resolution Satellite,20246990,https://project-archive.inf.ed.ac.uk/msc/20246990/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Tree Species Classification with High Resolution Satellite Imagery in a Multi-Label Setting Irfan Hamid T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Forests play a critical role in maintaining ecological balance, providing numerous ecological services such as carbon sequestration, biodiversity pr",UoE Informatics Outstanding MSc Archive,Computer Vision
